group,difficulty_tag,method_name,num_episodes,status,success_rate,collision_rate,timeout_rate,mean_final_ee_error,std_final_ee_error,mean_final_joint_error,mean_minimum_safety_margin,std_minimum_safety_margin,mean_steps_to_goal,mean_wall_time,mean_planning_time,mean_trajectory_length_joint,mean_trajectory_length_ee,mean_smoothness_jerk,rrtstar_exact_rate,rrtstar_approximate_rate,skipped_reason
difficulty,around_tall_obstacle,rrtstar_ompl,20,ok,1.0,0.0,0.0,1.3361432497717167e-08,2.617715037143129e-08,0.0,0.03658603946151586,0.009731989287695704,37.25,20.21132962703705,20.091375362873077,1.885747433994098,0.40924860114069483,6.470184469406051e-16,1.0,0.0,
difficulty,easy,rrtstar_ompl,10,ok,1.0,0.0,0.0,2.5113167462740477e-08,5.724447196416794e-08,0.0,0.0878999940395355,0.0,44.5,20.277578353881836,20.135774898529053,2.2498018235950252,0.3550215400992884,6.779113210305418e-16,1.0,0.0,
difficulty,hard_reach,rrtstar_ompl,15,ok,1.0,0.0,0.0,6.643479462042875e-09,4.452592220202375e-09,0.0,0.03128340796658633,0.014427463998727652,51.93333333333333,20.254196707407633,20.081900374094644,3.1880420717070614,0.8931511786761471,0.0012862652653685648,1.0,0.0,
difficulty,near_obstacle,rrtstar_ompl,15,ok,1.0,0.0,0.0,5.789406559449294e-09,3.0184052950966076e-09,0.0,0.06260011028166643,0.011155939840761088,55.53333333333333,20.286794455846152,20.109975147247315,2.8049449914085938,0.8624206890890507,7.096338295937452e-16,1.0,0.0,
