group,difficulty_tag,method_name,num_episodes,status,success_rate,collision_rate,timeout_rate,mean_final_ee_error,std_final_ee_error,mean_final_joint_error,mean_minimum_safety_margin,std_minimum_safety_margin,mean_steps_to_goal,mean_wall_time,mean_planning_time,mean_trajectory_length_joint,mean_trajectory_length_ee,mean_smoothness_jerk,rrtstar_exact_rate,rrtstar_approximate_rate,skipped_reason
difficulty,around_tall_obstacle,rrtstar_ompl,20,ok,1.0,0.0,0.0,1.3361432497717167e-08,2.617715037143129e-08,0.0,0.03658603946151586,0.009731989287695704,37.25,10.21121233701706,10.090593099594116,1.885747433994098,0.40924860114069483,6.470184469406051e-16,1.0,0.0,
difficulty,easy,rrtstar_ompl,10,ok,1.0,0.0,0.0,2.5113167462740477e-08,5.724447196416794e-08,0.0,0.0878999940395355,0.0,44.5,10.235015916824342,10.092125177383423,2.2498018235950252,0.3550215400992884,6.779113210305418e-16,1.0,0.0,
difficulty,hard_reach,rrtstar_ompl,15,ok,0.8666666666666667,0.0,0.0,0.13263875338564066,0.3399346154334339,0.523826311924782,0.036457420744550724,0.01949716266787721,51.93333333333333,10.247920385996501,10.080523935953776,2.843198858919922,0.7508082667074474,7.330340253468254e-16,0.8666666666666667,0.13333333333333333,OMPL RRTstar returned only an approximate solution within the planning time limit
difficulty,near_obstacle,rrtstar_ompl,15,ok,1.0,0.0,0.0,5.789406559449294e-09,3.0184052950966076e-09,0.0,0.06260011028166643,0.011155939840761088,55.53333333333333,10.280445845921834,10.102448479334514,2.8049449914085938,0.8624206890890507,7.096338295937452e-16,1.0,0.0,
