method_name,benchmark_seed,episode_id,target_id,difficulty_tag,scene,success,failure,collision,timeout,final_ee_error,final_joint_error,minimum_safety_margin,steps_to_goal,wall_time,planning_time,control_time_mean,trajectory_length_joint,trajectory_length_ee,smoothness_jerk,rrtstar_available,rrtstar_exact_solution,rrtstar_approximate_solution,controller_class,controller_entrypoint,config_path,tuned_reference_script,target_publish_count,target_publish_duration,uses_clean_controller,uses_native_margin,deployment_refinement_enabled,local_refinement_enabled,margin_fallback,target_not_available,backend,skipped_reason,path_length_joint,planning_time_limit,goal_bias,interpolation_resolution,collision_check_resolution,number_of_validity_checks,number_of_invalid_states
storm_mppi_tuned,23,10,static_tall_formal_v3_010,hard_reach,tall,false,true,false,true,0.08361360694397303,4.592601739681744,0.043583901423528595,3107,122.5939474105835,83.93915700912476,0.037365821614923835,9.552309744677565,1.0354283936506228,0.0002514295592424445,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,11,static_tall_formal_v3_011,near_obstacle,tall,true,false,false,false,0.049358493495242774,1.1671249424672865,0.0878999940395355,118,5.266606330871582,2.5388777256011963,0.02555458566062471,1.410297829006751,0.4195496813428935,0.00016047949088307347,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,12,static_tall_formal_v3_012,easy,tall,true,false,false,false,0.04767898499082386,1.285220553749317,0.0878999940395355,99,23.27671241760254,2.090175151824951,0.03068672394265934,0.7449655284456955,0.3207554503036434,0.007697097376263974,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,13,static_tall_formal_v3_013,near_obstacle,tall,true,false,false,false,0.048403978715695684,1.4581751629598316,0.0878999940395355,69,4.900465726852417,1.528768539428711,0.027652558158425725,0.38529464222263243,0.14904576668720032,0.0013279968571543988,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,14,static_tall_formal_v3_014,easy,tall,true,false,false,false,0.048706353776596614,2.3814303687747156,0.0878999940395355,82,4.643759727478027,1.7716712951660156,0.02541447863166715,0.5513411855997422,0.31803746030012153,0.00023952119962166943,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,15,static_tall_formal_v3_015,hard_reach,tall,true,false,false,false,0.04814603280199099,1.2683551047128436,0.04426324217533716,121,5.292065620422363,2.6038389205932617,0.025988219181696574,1.333183146537205,0.47304744407888,0.0002120953484815276,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,16,static_tall_formal_v3_016,hard_reach,tall,true,false,false,false,0.04962889280041132,0.8298938792069168,0.025646497288965397,150,8.960211753845215,3.371469736099243,0.02870500647781679,0.8549579980516553,0.338868321777102,0.000903018091443726,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,17,static_tall_formal_v3_017,easy,tall,true,false,false,false,0.04893416559716848,1.0627289830969877,0.0878999940395355,114,5.5969078540802,2.4551868438720703,0.025835883300916282,1.1379226773864621,0.32345373274944467,0.00020137622607312514,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,18,static_tall_formal_v3_018,hard_reach,tall,true,false,false,false,0.04917286030895551,1.9419041447042793,0.02974243724286285,148,12.390205383300781,4.303849458694458,0.042757131615463566,0.762871348962187,0.388084672728813,0.003473382445719664,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
storm_mppi_tuned,23,19,static_tall_formal_v3_019,hard_reach,tall,true,false,false,false,0.04874825843269535,2.2637872941997426,0.05391764624888776,221,8.873327255249023,4.776970863342285,0.026029609550129285,2.0471837459685376,0.6964336758094778,0.0002838930828045257,nan,nan,nan,MPPI,examples/sim_gazebo/reach_static_ur7e_tall.py,examples/sim_gazebo/config/ur7e_reacher_gazebo_tall.yml,examples/sim_gazebo/bash/run_all_reach_static_tall.sh,9,2.0,false,false,false,false,true,false,python_internal_tuned_logic,,,,,,,,
