difficulty_tag,metric,num_pairs,sage_wins,ties,storm_wins,sage_win_rate,tie_rate,storm_win_rate
all,wall_time,41,21,0,20,0.5121951219512195,0.0,0.4878048780487805
all,final_ee_error,41,34,3,4,0.8292682926829268,0.07317073170731707,0.0975609756097561
all,minimum_safety_margin,41,15,3,23,0.36585365853658536,0.07317073170731707,0.5609756097560976
all,trajectory_length_ee,41,18,0,23,0.43902439024390244,0.0,0.5609756097560976
all,trajectory_length_joint,41,31,0,10,0.7560975609756098,0.0,0.24390243902439024
hard_reach,wall_time,7,6,0,1,0.8571428571428571,0.0,0.14285714285714285
hard_reach,final_ee_error,7,6,0,1,0.8571428571428571,0.0,0.14285714285714285
hard_reach,minimum_safety_margin,7,3,0,4,0.42857142857142855,0.0,0.5714285714285714
hard_reach,trajectory_length_ee,7,2,0,5,0.2857142857142857,0.0,0.7142857142857143
hard_reach,trajectory_length_joint,7,6,0,1,0.8571428571428571,0.0,0.14285714285714285
manual_grid,wall_time,34,15,0,19,0.4411764705882353,0.0,0.5588235294117647
manual_grid,final_ee_error,34,28,3,3,0.8235294117647058,0.08823529411764706,0.08823529411764706
manual_grid,minimum_safety_margin,34,12,3,19,0.35294117647058826,0.08823529411764706,0.5588235294117647
manual_grid,trajectory_length_ee,34,16,0,18,0.47058823529411764,0.0,0.5294117647058824
manual_grid,trajectory_length_joint,34,25,0,9,0.7352941176470589,0.0,0.2647058823529412
