difficulty_tag,num_pairs,storm_success_rate,sage_success_rate,sage_success_improvement,storm_timeout_rate,sage_timeout_rate,sage_timeout_reduction
all,41,0.6829268292682927,1.0,0.31707317073170727,0.3170731707317073,0.0,0.3170731707317073
hard_reach,7,0.2857142857142857,1.0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143
manual_grid,34,0.7647058823529411,1.0,0.23529411764705888,0.23529411764705882,0.0,0.23529411764705882
