target_id,goal_ee_position,difficulty_tag,success,collision,timeout,final_ee_error,minimum_safety_margin,steps_to_goal,wall_time
manual_static_tall_000,"[0.4, -0.6, 0.25]",manual_grid,true,false,false,0.009412453861454772,0.004418672265286999,249,23.94548463821411
manual_static_tall_001,"[0.4, -0.6, 0.35]",manual_grid,true,false,false,0.008748637784081564,0.024948057709972646,97,7.352964401245117
manual_static_tall_002,"[0.4, -0.6, 0.45]",manual_grid,true,false,false,0.009165826065132773,0.047587118381822585,91,6.67110800743103
manual_static_tall_003,"[0.4, -0.6, 0.55]",manual_grid,true,false,false,0.009661900265353043,0.04612670570767488,83,6.407970428466797
manual_static_tall_004,"[0.4, -0.6, 0.65]",manual_grid,true,false,false,0.008640161252482828,0.0442128614505877,99,9.338930368423462
manual_static_tall_007,"[0.5, -0.5, 0.5]",manual_grid,true,false,false,0.009559199739767356,0.008513672050950674,133,11.989378213882446
manual_static_tall_008,"[0.5, -0.5, 0.6]",manual_grid,true,false,false,0.008683743722614894,0.04660395086115582,93,12.233009576797485
manual_static_tall_009,"[0.5, -0.5, 0.7]",manual_grid,true,false,false,0.008153451442554919,0.04165597439733172,98,7.396263599395752
manual_static_tall_013,"[0.3, -0.4, 0.4]",manual_grid,true,false,false,0.007595751214528254,0.017925580907471365,123,11.26416015625
manual_static_tall_014,"[0.3, -0.4, 0.5]",manual_grid,true,false,false,0.008102515009404133,0.021496137498789807,89,12.342028617858887
manual_static_tall_015,"[0.3, -0.4, 0.6]",manual_grid,true,false,false,0.00949666204274734,0.054304619796641085,67,7.242844104766846
manual_static_tall_016,"[0.3, -0.4, 0.7]",manual_grid,true,false,false,0.007848884841351237,0.05558365101779411,75,7.654646873474121
manual_static_tall_017,"[0.3, -0.4, 0.8]",manual_grid,true,false,false,0.009442561261964076,0.0538467654286629,75,7.751551628112793
manual_static_tall_021,"[0.4, 0.5, 0.55]",manual_grid,true,false,false,0.00836621596487009,0.04712743319147662,82,11.465027332305908
manual_static_tall_022,"[0.4, 0.5, 0.65]",manual_grid,true,false,false,0.009297876937948351,0.0750212702015846,72,7.712956666946411
manual_static_tall_026,"[0.5, 0.4, 0.6]",manual_grid,true,false,false,0.008197268925552465,0.060697685200973794,58,5.395849704742432
manual_static_tall_027,"[0.5, 0.4, 0.7]",manual_grid,true,false,false,0.009868004162567008,0.07286403030385509,60,8.935816049575806
manual_static_tall_031,"[0.3, 0.6, 0.5]",manual_grid,true,false,false,0.008975765648846055,0.017134441326814118,180,16.50623345375061
manual_static_tall_032,"[0.3, 0.6, 0.6]",manual_grid,true,false,false,0.009919472813596383,0.05922761188395148,85,6.75329065322876
manual_static_tall_033,"[0.3, 0.6, 0.7]",manual_grid,true,false,false,0.009845664891506596,0.08481366308549614,66,5.894948482513428
manual_static_tall_034,"[0.3, 0.6, 0.8]",manual_grid,true,false,false,0.008897020355359098,0.05507383688920393,117,12.266328573226929
manual_static_tall_035,"[0.4, 0.1, 0.3]",manual_grid,true,false,false,0.009617199926640323,0.0021395499080419586,102,9.690903663635254
manual_static_tall_036,"[0.4, 0.1, 0.4]",manual_grid,true,false,false,0.009663843982298156,0.00239655437469484,87,10.773277282714844
manual_static_tall_037,"[0.4, 0.1, 0.5]",manual_grid,true,false,false,0.007874776333399006,0.01302366411860515,78,8.115394830703735
manual_static_tall_038,"[0.4, 0.1, 0.6]",manual_grid,true,false,false,0.007914799822210609,0.0878999940395355,74,7.9907448291778564
manual_static_tall_039,"[0.4, 0.1, 0.7]",manual_grid,true,false,false,0.007758952633655014,0.0878999940395355,42,7.996347427368164
manual_static_tall_040,"[0.3, -0.1, 0.25]",manual_grid,true,false,false,0.009423253044166024,0.022289192506670913,95,10.397400856018066
manual_static_tall_041,"[0.3, -0.1, 0.35]",manual_grid,true,false,false,0.009198652851336215,0.0057416810333728585,84,8.212241649627686
manual_static_tall_042,"[0.3, -0.1, 0.45]",manual_grid,true,false,false,0.007254242016926527,0.0842749577371112,78,7.846789360046387
manual_static_tall_043,"[0.3, -0.1, 0.55]",manual_grid,true,false,false,0.009200056929482944,0.08656724861622844,72,7.44356632232666
manual_static_tall_044,"[0.3, -0.1, 0.65]",manual_grid,true,false,false,0.009694303971988448,0.0878999940395355,67,7.266017913818359
manual_static_tall_047,"[0.4, -0.1, 0.4]",manual_grid,true,false,false,0.008836031085759508,0.042231512146004874,86,12.941023349761963
manual_static_tall_048,"[0.4, -0.05, 0.4]",manual_grid,true,false,false,0.00892815816300556,0.05417483913995705,72,7.8554980754852295
manual_static_tall_049,"[0.4, 0.0, 0.4]",manual_grid,true,false,false,0.008371414282344508,0.07642372524188343,72,7.509028434753418
manual_static_tall_050,"[0.4, 0.05, 0.4]",manual_grid,true,false,false,0.009432153796346989,0.0393498975493038,72,7.691393613815308
manual_static_tall_051,"[0.4, 0.1, 0.4]",manual_grid,true,false,false,0.009438472781668301,0.01600654320716858,72,7.411016941070557
manual_static_tall_052,"[0.1, -0.1, 0.2]",hard_reach,true,false,false,0.009088815664205893,0.05372140959056944,133,11.84370493888855
manual_static_tall_053,"[0.1, 0.0, 0.2]",hard_reach,true,false,false,0.009177730852472574,0.055077400663156674,114,10.415940284729004
manual_static_tall_054,"[0.1, 0.1, 0.2]",hard_reach,true,false,false,0.009006566750232921,0.010693907813998052,99,9.488420248031616
manual_static_tall_055,"[0.1, 0.0, 0.1]",hard_reach,true,false,false,0.009610871036637391,0.046307341925054805,149,9.86817193031311
manual_static_tall_056,"[0.2, 0.0, 0.1]",hard_reach,true,false,false,0.009789072231968253,0.03521745983048112,111,8.187488555908203
manual_static_tall_057,"[0.3, 0.0, 0.1]",hard_reach,true,false,false,0.009859386397738265,0.0011660762667655977,191,15.961807489395142
manual_static_tall_058,"[0.4, 0.0, 0.1]",hard_reach,true,false,false,0.009504564426285412,0.035998389361114685,216,22.171679258346558
manual_static_tall_059,"[0.5, 0.0, 0.1]",hard_reach,true,false,false,0.00842216740809162,0.011012643022355231,279,22.13955569267273
