group,difficulty_tag,method_name,num_episodes,status,success_rate,collision_rate,timeout_rate,mean_final_ee_error,std_final_ee_error,mean_final_joint_error,mean_minimum_safety_margin,std_minimum_safety_margin,mean_steps_to_goal,mean_wall_time,mean_planning_time,mean_trajectory_length_joint,mean_trajectory_length_ee,mean_smoothness_jerk,rrtstar_exact_rate,rrtstar_approximate_rate,skipped_reason
difficulty,around_tall_obstacle,rrtstar_ompl,20,ok,1.0,0.0,0.0,1.3361432497717167e-08,2.617715037143129e-08,0.0,0.03658603946151586,0.009731989287695704,37.25,5.201054012775421,5.077783942222595,1.885747433994098,0.40924860114069483,6.470184469406051e-16,1.0,0.0,
difficulty,easy,rrtstar_ompl,10,ok,1.0,0.0,0.0,2.5113167462740477e-08,5.724447196416794e-08,0.0,0.0878999940395355,0.0,44.5,5.21745491027832,5.069702911376953,2.2498018235950252,0.3550215400992884,6.779113210305418e-16,1.0,0.0,
difficulty,hard_reach,rrtstar_ompl,15,ok,0.8666666666666667,0.0,0.0,0.10506768028887478,0.2685108689789777,0.43079043071226447,0.03723410353293736,0.021187865001277492,51.93333333333333,5.242429288228353,5.071653525034587,2.7757300489606562,0.7176411454605136,7.087118732832559e-16,0.8666666666666667,0.13333333333333333,OMPL RRTstar returned only an approximate solution within the planning time limit
difficulty,near_obstacle,rrtstar_ompl,15,ok,1.0,0.0,0.0,5.789406559449294e-09,3.0184052950966076e-09,0.0,0.06260011028166643,0.011155939840761088,55.53333333333333,5.274905856450399,5.094546922047933,2.8049449914085938,0.8624206890890507,7.096338295937452e-16,1.0,0.0,
difficulty,around_tall_obstacle,sage_mppi_tuned,20,ok,1.0,0.0,0.0,0.048408987296805685,0.0011954552676553135,1.6052782841256488,0.06385648914870921,0.01905672665075942,66.15,8.950837767124176,4.841515588760376,0.9380962768299707,0.3831725466575132,0.0027022010394844457,nan,nan,
difficulty,easy,sage_mppi_tuned,10,ok,1.0,0.0,0.0,0.04709776540975711,0.0046602361574315295,2.2115578473075415,0.08525594667216005,0.007932142102126326,38.0,7.411741232872009,2.848983573913574,0.47254581877657237,0.21710560723389397,0.0031022182805997465,nan,nan,
difficulty,hard_reach,sage_mppi_tuned,15,ok,1.0,0.0,0.0,0.048600336164788385,0.0009492877924604368,2.397231056551358,0.05658121890924049,0.01391392200630796,109.53333333333333,13.781749073664347,8.807972892125447,1.7046134899359093,0.6392923391408424,0.002621374977104168,nan,nan,
difficulty,near_obstacle,sage_mppi_tuned,15,ok,1.0,0.0,0.0,0.04838872453206298,0.0010549893670898573,2.8384696366814546,0.07373649013463864,0.017828974682625735,56.0,10.009708420435588,5.470093822479248,0.85040922399888,0.3777073762881808,0.003624748444904147,nan,nan,
difficulty,around_tall_obstacle,storm_mppi_tuned,20,ok,1.0,0.0,0.0,0.04915730045898142,0.0007103868841990112,1.7153622996862663,0.06169795012576581,0.018008473322515445,203.2,10.737606096267701,4.071319246292115,1.085652580238393,0.38316388751791447,0.0012200411849762887,nan,nan,
difficulty,easy,storm_mppi_tuned,10,ok,1.0,0.0,0.0,0.047423280047091815,0.004747415169064519,2.2758030918761945,0.08520409954108424,0.008087683495353791,68.2,5.938801622390747,1.4723848819732666,0.4371004759759616,0.20929763457456022,0.001709643439402633,nan,nan,
difficulty,hard_reach,storm_mppi_tuned,15,ok,0.8666666666666667,0.0,0.13333333333333333,0.08323600039903073,0.1123339373699749,2.566480869424663,0.060172726018764215,0.012171076635769919,642.4666666666667,27.364728275934855,15.465615828831991,2.233189048221246,0.5473288472050976,0.001392592823317584,nan,nan,
difficulty,near_obstacle,storm_mppi_tuned,15,ok,1.0,0.0,0.0,0.04889337878902899,0.0007184069700293743,2.7896110463674275,0.07623212327799354,0.015509176714692886,107.73333333333333,8.00754165649414,3.6990113735198973,0.7757532048561887,0.3437340871605412,0.001297679560794068,nan,nan,
