method_name,episode_id,target_id,scene,success,failure,collision,timeout,final_ee_error,final_joint_error,minimum_safety_margin,steps_to_goal,wall_time,planning_time,control_time_mean,trajectory_length_joint,trajectory_length_ee,smoothness_jerk,rrtstar_available,rrtstar_path_found,controller_class,uses_clean_controller,uses_native_margin,deployment_refinement_enabled,local_refinement_enabled,margin_fallback,skipped_reason,path_length_joint,planning_time_limit,goal_bias,interpolation_resolution,collision_check_resolution,number_of_validity_checks,number_of_invalid_states
storm_mppi,0,tall_pilot_00,tall,true,false,false,false,0.019953992612492706,3.25180615205111,0.020582214891185245,137,6.460778474807739,5.910075664520264,0.04313923842715521,1.8768007556665582,0.70033491816557,8.10505913735323e-05,nan,nan,MPPI,false,false,false,false,false,,nan,nan,nan,nan,nan,nan,nan
storm_mppi,1,tall_pilot_01,tall,true,false,false,false,0.01945728652566431,1.509310352757184,0.08435015101900611,129,5.580061435699463,5.0636327266693115,0.039252966873405515,1.9093360288765107,0.48187298874847795,6.969287048998952e-05,nan,nan,MPPI,false,false,false,false,false,,nan,nan,nan,nan,nan,nan,nan
storm_mppi,2,tall_pilot_02,tall,true,false,false,false,0.019971526893630166,3.716944038509867,0.057328314589853185,91,5.215750694274902,4.424891471862793,0.04862518100948124,1.074782185706541,0.40901536645019704,8.827436857863455e-05,nan,nan,MPPI,false,false,false,false,false,,nan,nan,nan,nan,nan,nan,nan
storm_mppi,3,tall_pilot_03,tall,true,false,false,false,0.01994692917640069,4.875109453634989,0.005641610983014113,101,4.0232837200164795,3.6514952182769775,0.036153418002742355,1.4063912276365333,0.4271263299602552,0.00010267520421594331,nan,nan,MPPI,false,false,false,false,false,,nan,nan,nan,nan,nan,nan,nan
storm_mppi,4,tall_pilot_04,tall,true,false,false,false,0.019926822426952356,2.445595863186174,0.04477317751053353,113,4.280402183532715,3.8793606758117676,0.03433062544966166,1.6253465094796133,0.5320446433227444,9.541601149808992e-05,nan,nan,MPPI,false,false,false,false,false,,nan,nan,nan,nan,nan,nan,nan
sage_mppi_core,5,tall_pilot_00,tall,false,true,true,false,0.35014330799859145,9.631576710276068,-0.010788161109925642,152,15.383601188659668,14.873379707336426,0.09785118228510807,16.486802371669942,5.377740494376251,0.002653236011528844,nan,nan,SAGE_MPPI,true,true,false,false,false,,nan,nan,nan,nan,nan,nan,nan
sage_mppi_core,6,tall_pilot_01,tall,false,true,true,false,0.9864384464723612,6.203516924345772,-0.030394457433000177,238,25.64690661430359,24.814955711364746,0.1042645197956502,26.193086438005793,7.033919823999893,0.0021696215731702773,nan,nan,SAGE_MPPI,true,true,false,false,false,,nan,nan,nan,nan,nan,nan,nan
sage_mppi_core,7,tall_pilot_02,tall,false,true,true,false,0.46422863592316543,2.6769842049075985,-0.003080370002985,72,9.95492672920227,9.481468915939331,0.13168706827693516,3.7980721351450875,1.9637919741770857,0.0017834498560647717,nan,nan,SAGE_MPPI,true,true,false,false,false,,nan,nan,nan,nan,nan,nan,nan
sage_mppi_core,8,tall_pilot_03,tall,false,true,true,false,0.3316858401897271,5.604872499663187,-0.0006507460296153941,10,1.3188576698303223,1.2696762084960938,0.12696762084960939,0.0755682787689477,0.036390981049741686,0.0006412255172082985,nan,nan,SAGE_MPPI,true,true,false,false,false,,nan,nan,nan,nan,nan,nan,nan
sage_mppi_core,9,tall_pilot_04,tall,false,true,true,false,0.730288289191492,2.3767522862025108,-0.0007980564953035674,79,25.437331676483154,23.753479957580566,0.3006769614883616,5.946024782075055,3.3857938139726484,0.002255325148066419,nan,nan,SAGE_MPPI,true,true,false,false,false,,nan,nan,nan,nan,nan,nan,nan
rrtstar,10,tall_pilot_00,tall,false,true,false,false,0.4906775733769087,5.483407117163182,0.020587134877414044,69,5.424166440963745,2.0961663722991943,nan,5.758634455116964,1.401116393983187,1.212086371904302e-15,true,false,OMPL_RRTstar,false,false,false,false,false,OMPL RRTstar returned only an approximate solution within the planning time limit,5.758634455116964,2.0,0.05,0.05,0.05,525,9
rrtstar,11,tall_pilot_01,tall,false,true,false,false,0.8560075876388064,5.016346159294702,0.0878999940395355,53,4.4557037353515625,2.0577099323272705,nan,5.7586344551169635,1.6303792891126796,9.723070332013212e-16,true,false,OMPL_RRTstar,false,false,false,false,false,OMPL RRTstar returned only an approximate solution within the planning time limit,5.7586344551169635,2.0,0.05,0.05,0.05,507,4
rrtstar,12,tall_pilot_02,tall,true,false,false,false,4.298000309411908e-09,0.0,0.025482026426547885,82,2.8141632080078125,2.0763180255889893,nan,4.134658032983623,1.0754835862907217,9.947920375626582e-16,true,true,OMPL_RRTstar,false,false,false,false,false,,4.134658032983623,2.0,0.05,0.05,0.05,1490,26
rrtstar,13,tall_pilot_03,tall,true,false,false,false,4.545456716309621e-09,0.0,0.005643213975429544,112,2.9599356651306152,2.049344301223755,nan,7.315575932714624,2.019070421636852,0.0018824059772546513,true,true,OMPL_RRTstar,false,false,false,false,false,,7.315575932714624,2.0,0.05,0.05,0.05,1817,78
rrtstar,14,tall_pilot_04,tall,true,false,false,false,5.083234150370037e-09,0.0,0.045352958002347246,65,2.612508535385132,2.1076905727386475,nan,3.2555345248813836,0.44002334409680943,1.1514257166214407e-15,true,true,OMPL_RRTstar,false,false,false,false,false,,3.2555345248813836,2.0,0.05,0.05,0.05,1814,69
